gene_id	gene_id_clean	stability_score	in_NAT	in_GTEx_All	in_Transverse	in_Sigmoid	log2FC	padj	direction	lasso_coef	rf_importance
ENSG00000279473.1	ENSG00000279473	3	False	True	True	True	11.574029361917852	0.0	Up	0.9170107299945662	0.0637507033620205
ENSG00000062038.13	ENSG00000062038	3	False	True	True	True	7.374644438185936	2.7134772532731403e-264	Up	0.5245498724384139	0.0436175022639076
ENSG00000175832.12	ENSG00000175832	3	True	True	False	True	5.345197661754297	5.284077635737636e-44	Up	0.417237486425783	0.0331256470769389
ENSG00000163347.5	ENSG00000163347	3	True	True	True	False	4.843430087036166	1.4191877801091406e-41	Up	0.2237700380920554	0.0260466366233502
ENSG00000167767.13	ENSG00000167767	3	False	True	True	True	6.908250989553869	1.1307226878968e-246	Up	0.2532789232230916	0.0129752467974358
ENSG00000235734.4	ENSG00000235734	3	False	True	True	True	9.826664343176503	1.3523698408727824e-183	Up	0.304102684772113	0.0128023065497914
ENSG00000240854.1	ENSG00000240854	2	False	True	True	False	7.346581271497431	5.456936029517579e-203	Up	0.4817064506561896	0.0233641267320694
ENSG00000229237.2	ENSG00000229237	2	False	True	True	False	10.767731173526125	3.536252607862716e-221	Up	0.5286600620923627	0.0231959473970814
ENSG00000147576.15	ENSG00000147576	2	False	True	False	True	-5.3635152577232414	5.104162108041702e-172	Down	-0.1711841666597774	0.0099312599276733
ENSG00000170373.8	ENSG00000170373	2	False	True	True	False	12.677326172063433	2.884920384910557e-230	Up	0.1133742994850097	0.0064094030170702
ENSG00000167549.18	ENSG00000167549	2	False	False	True	True	-5.6152572150725515	1.063317652573038e-76	Down	-0.0712893635785341	0.0061269431313692
ENSG00000234743.1	ENSG00000234743	1	False	True	False	False	8.586993065846471	1.265763303075922e-128	Up	0.0337878495183484	0.0628957029646408
ENSG00000219928.2	ENSG00000219928	1	False	False	True	False	13.396400659414756	2.4530279290206547e-71	Up	0.0805105744230087	0.0406844902433911
ENSG00000224126.2	ENSG00000224126	1	False	False	True	False	9.183939941240196	2.666674369266355e-66	Up	0.0066210472733502	0.0391691737943152
ENSG00000050344.8	ENSG00000050344	1	False	False	False	True	4.163122241411287	7.820504555515283e-99	Up	0.0504591069176737	0.0368520405701478
ENSG00000153902.13	ENSG00000153902	1	False	False	False	True	-5.965845203427837	5.477004508897727e-105	Down	-0.15716444673559	0.0328699348909337
ENSG00000142959.4	ENSG00000142959	1	True	False	False	False	-6.971385822458272	3.203668420269587e-52	Down	-0.4966945964572766	0.0233333333333333
ENSG00000101003.9	ENSG00000101003	1	False	False	False	True	4.829479129869677	6.52998247722836e-108	Up	0.0763244691769958	0.0231028698446364
ENSG00000163815.5	ENSG00000163815	1	True	False	False	False	-4.283573219147941	2.9616835883001144e-44	Down	-0.4332850969006859	0.0225488054442655
ENSG00000238249.2	ENSG00000238249	1	False	False	True	False	7.883130753415926	6.813897056562874e-222	Up	0.5905117479051912	0.0222045108518484
ENSG00000101255.10	ENSG00000101255	1	True	False	False	False	3.564554675654432	2.9616835883001144e-44	Up	0.1086184618911794	0.0199048892879964
ENSG00000247844.1	ENSG00000247844	1	False	False	False	True	10.53769978944536	7.440305741681825e-108	Up	0.1025708958780154	0.016323395184409
ENSG00000088325.15	ENSG00000088325	1	False	False	False	True	6.935747085623119	9.06065426275943e-98	Up	0.0289428656883807	0.0134246479419755
ENSG00000182938.4	ENSG00000182938	1	True	False	False	False	-8.65754139947683	4.824198189100272e-41	Down	-0.1180643972072502	0.012659226782435
ENSG00000124440.15	ENSG00000124440	1	False	False	False	True	-6.779421935686528	2.0874490464685597e-113	Down	-0.1333753973367534	0.0067707654718623
ENSG00000164283.12	ENSG00000164283	1	False	False	True	False	6.798137398609879	7.948067731800534e-72	Up	0.0367597094280414	0.0066102838529274
ENSG00000245694.8	ENSG00000245694	1	True	False	False	False	4.443107274576981	8.735803206174787e-50	Up	0.2589914588394791	0.0065559123300036
ENSG00000227487.3	ENSG00000227487	1	False	False	False	True	-8.333711188706278	4.263794348027113e-168	Down	-0.0543945810722757	0.006552408512048
ENSG00000244538.1	ENSG00000244538	1	False	False	True	False	9.762420399863426	6.035517884731035e-90	Up	0.0924940071482818	0.0064158196596752
ENSG00000100146.16	ENSG00000100146	1	False	True	False	False	-8.90001510463207	2.7496597009374646e-125	Down	-0.1887288380707096	0.0064016584359698
